,description,link,location,phone,service_name,va_facility
3001,Collecting blood samples and performing in many tests that aid physicians in the diagnosis and treatment of a variety of conditions.,/services/Laboratory.asp,Building 107First Floor,928-445-4860,Laboratory,www.prescott
3002,The Medical Foster Home (MFH) Program provides an alternative to nursing home placement and long-term care.,/services/Medical_Foster_Home.asp,Northern Arizona VA Health Care System,928-445-4860 Ext. 5421,Medical Foster Home,www.prescott
3003,"Optimizing the health, quality of life and community functioning of Veterans with serious mental illnesses who are high users of VHA mental health inpatient services.",/services/Mental_Health_Intensive_Case_Management_MHICM.asp,"Moduler Building, up the hill from Bldg. 161 - New Mental Health Clinic500 Hwy 89 N.Prescott, AZ",928-445-4860 Ext. 6071,Mental Health Intensive Case Management (MHICM),www.prescott
3004,"Providing residential rehabilitation and treatment services for Veterans with multiple medical conditions, mental illness, addiction, or psychosocial issues.",/services/Mental_Health_Residential_Rehabilitation_Treatment_Program_MH_RRTP.asp,Building 151Domiciliary,928-445-4860 Ext. 7524,Mental Health Residential Rehabilitation Treatment Program (MH RRTP),www.prescott
3005,"Mental Health Services provide intake assessments, medication management and individual and group psychotherapy, including evidence-based treatments.",/services/Mental_Health_Services.asp,Building 1552nd FloorBuilding 161,928-445-4860 Ext. 6071  928-445-4860 Ext. 4827,Mental Health Services,www.prescott
3006,Therapy related to military sexual trauma.,/services/Military_Sexual_Trauma_MST.asp,Building 161Room 109,928-445-4860 Ext. 6456,Military Sexual Trauma (MST),www.prescott
3007,MOVE! is an evidence-based patient-centered weight management program for medically overweight or obese Veterans.,/services/Move.asp,Northern Arizona VA Health Care System,928-445-4860 Ext. 6821  928-445-4860 Ext. 6229,Move!,www.prescott
3008,My HealtheVet is the VA's online personal health record.,/services/MyHealtheVet.asp,Building 117,928-445-4860 Ext. 6815,MyHealtheVet,www.prescott
3009,Providing diagnostic and therapeutic services through the use of radioisotopes.,/services/Nuclear_Medicine.asp,Building 107,928-445-4860 Ext. 6560,Nuclear Medicine,www.prescott
3010,"Nutrition and Food Service prepares and provides nutritious meals, snacks and nourishments for our inpatients and long-term care residents.",/services/Nutrition_and_Food_Service.asp,Northern Arizona VA Health Care System,928-445-4860,Nutrition and Food Service,www.prescott
3011,Oncology is the area of medicine that deals with the study and treatment of cancer.,/services/Oncology.asp,Building 107Main HospitalRoom 318,928-445-4860,Oncology,www.prescott
3012,"Handling issues that cannot be resolved, are delicate in nature, or involve more than one Service Line.",/services/Patient_Advocate.asp,Building 117,928-776-6008,Patient Advocate,www.prescott
3013,"Partnering with Veterans with a team-based approach. The Veteran is not just the patient but a vital member of that team in providing ""whole-person"" care.",/services/Patient_Aligned_Care_Teams_PACT.asp,Building 117Building 158,928-445-4860,Patient Aligned Care Teams (PACT),www.prescott
3014,Providing a variety of Clinicians who participate in teaching and planning programs to meet your health education needs.,/services/Patient_Health_Education.asp,Building 117,928-445-4860 Ext. 6815,Patient Health Education,www.prescott
3015,The travel department pays mileage to eligiable Veterans who have scheduled medical appointments at the Northern Arizona VA Health Care System.,/services/Travel_Clerk_Patient_Travel.asp,Building 117First Floor,928-445-4860,Patient Travel,www.prescott
3016,"Providing diagnostic, physical, psychosocial, educational, vocational and recreational activities for the full treatment of Veterans.",/services/Physical_Medicine_and_Rehabilitation_PM_R_Clinic.asp,Building 107Second Floor,928-445-4860 Ext. 7437,Physical Medicine and Rehabilitation (PM&R) Clinic,www.prescott
3017,"The Physical Therapy staff at the Prescott VA Medical Center provides evaluations of muscle strength, sensibility, and joint function.",/services/Physical_Therapy.asp,Building 107Second Floor,928-445-4860 Ext. 7437,Physical Therapy,www.prescott
3018,The Podiatric Surgery Department provides comprehensive foot and ankle care to Veterans.,/services/Podiatry.asp,Building 107Second Floor (2A),928-445-4860 Ext. 6052,Podiatry,www.prescott
3019,"Providing medically prescribed equipment, supplies, devices and Prosthetic and Orthotic services for home use by eligible Veterans.",/services/Prosthetics_and_Sensory_Aids_Service.asp,Building 156,928-445-4860 Ext. 6129,Prosthetics and Sensory Aids Service,www.prescott
3020,Outpatient program serving as a recovery center for those with serious mental illness that also have serious difficulty functioning in one or more areas of life.,/services/Pyschosocial_Rehabilitation_and_Recovery_Center_PRRC.asp,"Moduler Building, up the hill from the New Mental Health Clinic, Bldg. 161500 Hwy 89 N.Prescott, AZ",928-445-4860 Ext. 5300,Pyschosocial Rehabilitation and Recovery Center (PRRC),www.prescott
3021,Broad range of activities and programs to assist Veteran patients with learning how to best use their spare time and how to cope recreationally with injuries.,/services/recreation_Therapy.asp,Building 151 & Building 148,928-445-4860 Ext. 7402,Recreation Therapy,www.prescott
3022,Providing temporary care to Veterans who are in need of assistance with activities of daily living. This service is provided on a short-term basis.,/services/Respite_Care_Program.asp,Building 148,928-445-4860,Respite Care Program,www.prescott
3023,Caring for the special needs of our OEF/OIF/OND Veterans.,/services/Returning_Service_Members.asp,Building 107,928-445-4860 Ext. 6308  928-445-4860 Ext. 6328,Returning Service Members,www.prescott
3024,Social Workers collaborate with community agencies and advocacy groups to enhance the care and services provided to Veterans and their family members.,/services/Social_Work_Service.asp,Building 151C4,928-445-4860 Ext. 2770,Social Work Service,www.prescott
3025,The VA Microbiology staff performs all the Microbiological testing that is ordered by physicians.  Tests include a multitude of specimen types and test methodologies.,/services/Specialty_Clinic_Lab_Microbiology.asp,Building 107First Floor,928-445-4860 Ext. 7414,Specialty Clinic Lab (Microbiology),www.prescott
3026,"Providing evaluation and treatment for slurred speech, breakdown of language, voice problems, memory problems, swallowing problems and other communication disorders.",/services/Speech_Pathology.asp,Building 148First floor,928-445-4860 Ext. 7516,Speech Pathology,www.prescott
3027,"Implementation of suicide prevention strategies through education, monitoring and coordination of care.",/services/Suicide_Prevention_Program.asp,Building 155Second Floor,928-445-4860 Ext. 2705  928-445-4860 Ext. 6071,Suicide Prevention Program,www.prescott
3028,Call center that provides After-Hour Care for contracted facilities from Registered Nurses.,/services/Tele_Nurse_Triage_After_Hours_Program.asp,Northern Arizona VA Health Care System,928-445-4860,Tele-Nurse Triage After-Hours Program,www.prescott
3029,"Veteran patients with chronic diseases such as diabetes, heart failure and chronic pulmonary disease can be monitored at home using home Telehealth technologies.",/services/Telehealth_Home_Telehealth_Overview.asp,Building 107,928-445-4860 Ext. 6337,Telehealth (Home Telehealth Overview),www.prescott
3030,Tobacco Cessation Program helps Veterans and staff who want to quit tobacco for good.,/services/Tobacco_Cessation.asp,Building 117,928-445-4860 Ext. 6837,Tobacco Cessation,www.prescott
3031,The Northern Arizona VA Health Care System has staff to assist Veterans in the transplant process.,/services/Transplant_Program.asp,Building 107First Floor,928-445-4860 Ext. 6337,Transplant Program,www.prescott
3032,Providing referrals for patients with a wide range of complex urologic problems.,/services/Urology.asp,Building 107Second Floor (2A),928-445-4860 Ext. 6661,Urology,www.prescott
3033,Conduct interviews with Veterans and their family members to assist in the claims process for those seeking compensation and pension and education benefits.,/services/Veteran_Service_Organizations.asp,Building 13,928-445-4860 Ext. 6078,Veteran Service Organizations,www.prescott
3034,Avoid the unnecessary criminalization of mental illness and extended incarceration among our Veterans.,/services/Veterans_Justice_Outreach_Program_VJO.asp,Building 78,928-445-4860 Ext. 5303,Veterans Justice Outreach Program (VJO),www.prescott
3035,Every day volunteers help us provide the highest quality care for our Veterans.  NAVAHCS has over 468 volunteers.,/services/Voluntary_Service.asp,Building 15 - TheaterRoom 101 & 106,928-776-6013,Voluntary Service,www.prescott
3036,The Northern Arizona VA Health Care System Women's Health Program features a wide range of programs and services to meet the unique needs of female Veterans.,/services/Women_s_Health.asp,Building 158,928-445-4860 Ext. 6688,Women's Health,www.prescott
3037,Information and resources for patients and families members with ALS-Amyotrophic lateral sclerosis,/services/ALS.asp,SENSORY and PHYS. REHAB. SERVICE-Basement,401-273-7100 Ext. 3234,ALS,www.providence
3038,Audiology Clinic services provided include Evaluations Assessments Hearing Aid evaluations Assisted Living device evaluations and more,/services/Audiology.asp,"Eagle Square-Providence, RIandNew Bedford, MA",401-455-4949  508-984-8690,Audiology,www.providence
3039,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",/services/Caregiver_Program.asp,Providence VAMC,401-273-7100 Ext. 3283   401-273-7100 Ext. 4249,Caregiver Program,www.providence
3040,information for Lesbian Gay Bisexual and Transgender Veterans,/services/Gay_Lesbian_Bisexual_and_Transgender_Veterans.asp,PVAMC,401-273-7100 Ext. 3293,Lesbian Gay Bisexual and Transgender Veterans,www.providence
3041,Clinical services provided to Veterans for oncology and hematology.,/services/Oncology_Hematology.asp,"PVAMC, 4th Floor",401-273-7100 Ext. 3450  401-273-7100 Ext. 3199,Oncology / Hematology,www.providence
3042,PVAMC Out-Patient Pharmacy Process Improvements,/services/Out_Patient_Pharmacy_Process.asp,"PVAMC, First Floor 1A",401-273-7100,Out-Patient Pharmacy Process Improvements,www.providence
3043,"PVAMC prescription, RX information",/services/pharmacy.asp,Main Building - 1A,401-273-7100 Ext. 3994  866-363-4486,Pharmacy,www.providence
3044,Staff can assist you with requests for medical records and are experts in our patients' rights and their health records.,/services/Release_of_Information.asp,"PAMC, Basement (D011)",401-273-7100 Ext. 3481/3482/3485,Release of Information,www.providence
3045,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,/services/Returning_Service_Members.asp,Providence VAMC,401-273-7100 Ext. 6137,Returning Service Members,www.providence
3046,"Social Work Services, Geriatrics & Extended Care",/services/Social_Work_Services.asp,"PVAMC, Building 2, 2nd floor",401-273-7100 Ext. 6105,Social Work Services / Geriatrics & Extended Care (GEC),www.providence
3047,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,/services/Women_Veterans.asp,Providence VAMC,401-273-7100 Ext. 6191,Women Veterans,www.providence
3048,Our audiology services provide a full range of diagnoses and assistance with many hearing issues.,/services/audiology.asp,"Seattle Division - 126American Lake Division - 117, Bldg 85Mount Vernon - S123",206-764-2404  253-583-1803,Audiology,www.pugetsound
3049,Health Plan Management administers Veterans Fee Services and Beneficiary Travel,/services/Health_Plan_Management.asp,"Seattle Division, Enrollment Office, Main EntranceAmerican Lake, Enrollment Office, Building 18",206-762-1010  253-582-8440,Bene Travel,www.pugetsound
3050,VA Puget Sound Health Care System offers outpatient vision rehabilitation services at both its Seattle and American Lake Divisions.,/services/blindrehab.asp,VA Puget Sound Health Care System,206-764-2758  253-583-1287,Blind Rehabilitation,www.pugetsound
3051,The VA Puget Sound Cancer Care program provides care for persons with cancer including a marrow transplant program and a tumor registry.,/services/Cancerprogram.asp,Cancer Care ClinicSeattle Division,206-764-2414  800-329-8387 Ext. 62414,Cancer Program,www.pugetsound
3052,"VA chaplains provide spiritual and emotional support for patients, family members, friends and staff from all religious traditions.",/services/chaplain.asp,VA Puget Sound Health Care System,206-764-2023  253-582-3523,Chaplain Service,www.pugetsound
3053,Clinical Pastoral Education is theological and professional education for ministry.,/services/Clinical_Pastoral_Education.asp,VA Puget Sound Health Care System,206-768-5210,Clinical Pastoral Education,www.pugetsound
3054,Community Reintegration Services assists Veterans to reach their highest level of productivity by preparing them for re-entry into the community and the workforce.,/services/CRS.asp,VA Puget Sound Health Care System,253-583-1800  206-277-5569,Community Reintegration Services,www.pugetsound
3055,The VA Puget Sound Health Care System Decedent Affairs Office provides guidance and information regarding VA Burial Benefits for eligible Veterans and their families.,/services/Decedent_Affairs.asp,VA Puget Sound Health Care System,206-764-2150,Decedent Affairs,www.pugetsound
3056,Diagnostic Imaging offers an extensive range of imaging services. These images help with the diagnosis and treatment of any number of medical conditions.,/services/Diagnostic_Imaging.asp,"Seattle Division - Bldg 100, 2nd floor, Room 2D-100American Lake Division - Bldg 81, Room 205",206-764-2444  253-583-1918,Diagnostic Imaging,www.pugetsound
3057,"We function as a center of excellence in research, education and clinical care activities in the diagnosis and treatment of epilepsy.",/services/Epilepsy.asp,VA Puget Sound Health Care System,206-277-4292,Epilepsy Center of Excellence,www.pugetsound
3058,"The VA Fitness Center at VA Puget Sound-American Lake Division is open to patients with gym consults, employees and volunteers.",/services/Fitness_Center.asp,American Lake Division,253-583-1685,Fitness Center,www.pugetsound
3059,Health Plan Management administers Veterans Fee Services and Beneficiary Travel,/services/Health_Plan_Management.asp,"Seattle Division, Enrollment Office, Main EntranceAmerican Lake, Enrollment Office, Building 18",206-762-1010  253-582-8440,Health Plan Management,www.pugetsound
3060,"Classes focused on tobacco cessation, stress management, healthy eating and dieting, living well with chronic conditions and more.",/services/Healthy_Living_Classes.asp,VA Puget Sound Health Care System,206-762-1010  253-582-8440,Healthy Living Classes,www.pugetsound
3061,The MOVE Program is designed for veterans enrolled in the VA healthcare system who want assistance with managing their weight.,/services/Move_Program.asp,"American Lake DivisionBuilding 81, Room 354",253-582-8440 Ext. 76683  800-329-8387 Ext. 76683,MOVE! Program,www.pugetsound
3062,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,VA Puget Sound Health Care System,206-764-2007  253-583-1626,Mental Health,www.pugetsound
3063,MBSR teaches people practices they can use over the course of their life to reduce stress and promote health and wellness.,/services/mindfulness.asp,VA Puget Sound Health Care System,206-277-1721,Mindfulness Based Stress Reduction,www.pugetsound
3064,"The Minority Veterans Program ensures that all Minority Veterans receive quality care, service, and benefits to which they are entitled.",/services/minorityvetsprogram.asp,VA Puget Sound Health Care System,206-768-5363  253-589-4147,Minority Veterans Program,www.pugetsound
3065,The PTSD Program at the American Lake and Seattle divisions offer a variety of specialized services for Veterans with PTSD related to their military service.,/services/PTSD.asp,VA Puget Sound Health Care System,206-277-3456  253-583-2800,PTSD Resources,www.pugetsound
3066,Pain Clinic is our multi-disciplinary approach to chronic pain management.,/services/Functional_Restoration_Program_FRP.asp,American LakeSeattle,253-583-2892  206-277-5520,Pain Clinic,www.pugetsound
3067,"The VA Puget Sound pharmacy processes over 8,300 prescriptions daily. Many of these prescriptions are filled by the Central Mail Out Pharmacy.",/services/pharmacy.asp,Outpatient Pharmacies,253-583-3000  206-277-4000,Pharmacy,www.pugetsound
3068,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,VA Puget Sound Health Care System,800-329-8387 Ext. 71234,Primary Care,www.pugetsound
3069,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",/services/rehabcare.asp,VA Puget Sound Health Care System,800-329-8387,Rehabilitation Care Services,www.pugetsound
3070,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to Veterans.,/services/research.asp,VA Puget Sound Health Care System,800-329-8387,Research and Development,www.pugetsound
3071,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,/services/socialwork.asp,VA Puget Sound Health Care System,206-764-2646  800-329-8387 Ext. 62646,Social Work,www.pugetsound
3072,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/specialty.asp,VA Puget Sound Health Care System,800-329-8387,Specialty Care,www.pugetsound
3073,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",/services/sci.asp,Seattle Division,206-764-2502,Spinal Cord Injury,www.pugetsound
3074,The American Lake Division has an urgent care center available for Veterans.,/services/urgentcare.asp,American Lake Division,253-582-8440  800-329-8387,Urgent Care Services at American Lake,www.pugetsound
3075,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",/services/Caregiver_Program.asp,Sierra Nevada Health Care System,775-328-1461  775-785-7110,Caregiver Program,www.reno
3076,"If you are a Veteran who has lost your home, receive the support you've earned to get back on your feet.",/services/Homeless_Veterans.asp,Homeless Hotline,877-424-3838,Homeless Veterans,www.reno
3077,"Palliative care is a medical specialty provided to people with advanced, life-limiting illness.",/services/Hospice_and_Palliative_Care.asp,Sierra Nevada Health Care System,775-785-7118,Hospice and Palliative Care,www.reno
3078,Dedicated Veteran Information and Referral (I&R) Center for Parkinson's Disease,/services/Parkinson_s_Disease.asp,Dedicated Veteran Information and Referral Center,775-328-1715,Parkinson's Disease,www.reno
3079,Prescription refills are available in a number of ways.,/services/pharmacy.asp,Sierra Nevada Health Care System,855-339-0376,Pharmacy,www.reno
3080,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,/services/Returning_Service_Members.asp,Sierra Nevada Health Care System,775-786-7200 Ext. 1232,Returning Service Members,www.reno
3081,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,/services/Women_Veterans.asp,Sierra Nevada Health Care System,775-786-7200 Ext. 1767,Women Veterans,www.reno
3082,"The Assistive Technology Program is responsible for evaluation, development and implementation of appropriate AT services, strategies, devices and/or practices.",/services/AT.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000 Ext. 2134,Assistive Technology,www.richmond
3083,The Chaplain Service provides pastoral care to Veterans by helping to alleviate their issues of spiritual injury and distress.,/services/Chaplain_Service_at_Richmond_vamc.asp,Main Entrance ChapelFirst Floor near Eye Glass ClinicRoom C1X-1,804-675-5000 Ext. 2104  804-675-5000 Ext. 5125,Chaplain Service,www.richmond
3084,"The Dental Service is committed to improving the health of our patients by delivering comprehensive, state-of-the-art, quality dental care to eligible veterans.",/services/Dental_Service.asp,"Outpatient Dental ClinicMain Hospital, First floor, Room 1K",804-675-5251,Dental Service,www.richmond
3085,The geriatrics and extended care program at the Richmond VAMC offers a broad range of services.,/services/gec.asp,"Geriatrics Health Care Center (GHCC)First floor, Room 1P-140",804-675-5553,Geriatrics and Extended Care,www.richmond
3086,Richmond VAMC's medical service offers an extensive range of inpatient and outpatient treatment.,/services/medical_service.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000 Ext. 5111,Medical Service,www.richmond
3087,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,"Mental Hygiene Clinic (MHC)First floor, Room 1D-165",804-675-5000 Ext. 5411,Mental Health,www.richmond
3088,"Parkinson's Disease Research, Education, and Clinical Center (PADRECC) is a nationwide referral center providing care to patients with Parkinson's Disease.",/services/padrecc.asp,"PADRECC - Parkinson CenterSecond floor, Room 2C-110",804-675-5931,Parkinson's Disease,www.richmond
3089,"Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,Outpatient Pharmacy,804-675-5010  800-784-8381,Pharmacy,www.richmond
3090,Physical medicine & rehabilitation service (PM&RS) strives to maximize the quality of life of persons with activity limitations.,/services/pmr.asp,"First floor, Room 1S",804-675-5000,Physical Medicine and Rehabilitation,www.richmond
3091,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Primary Care,www.richmond
3092,The predoctoral internship at the Richmond VAMC is fully accredited by the Commission on Accreditation of the American Psychological Association.,/services/Psychology.asp,"1201 Broad Rock BlvdRichmond, VA 23249",804-675-5000 Ext. 5106,Psychology Services,www.richmond
3093,Radiology at Richmond VA Medical Center is a medical specialty that employs the use of imaging to both diagnose and treat disease visualized within the human body.,/services/Radiology.asp,Richmond VAMCFirst Floor,804-675-5000,Radiology,www.richmond
3094,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,/services/research.asp,Hunter Holmes McGuire VA Medical Center,804-675-5151,Research,www.richmond
3095,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,/services/socialwork.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Social Work,www.richmond
3096,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",/services/sci.asp,"SCI Outpatient ClinicFirst floor, Room 1V",804-675-5000 Ext. 5128,Spinal Cord Injury (SCI),www.richmond
3097,The Richmond VAMC offers current paid Spinal Cord Injury research protocols.,/services/sciresearch.asp,"First floor, Room 1V",804-675-6200,Spinal Cord Injury (SCI) Research,www.richmond
3098,"Our surgical specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",/services/specialty.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Surgical Specialty Care,www.richmond
3099,VLER Health is a free and voluntary program to share parts of your medical record with the Department of Defense and other hospitals over a secure Internet network.,/services/VLER_Program.asp,"Centralized Registration, First floor",877-771-VLER,Virtual Lifetime Electronic Record (VLER),www.richmond
3100,Vision and Blind Rehabilitation Services are available for VHA eligible Veterans and Active Duty Servicemembers.,/services/Vision_and_Blind_Rehabilitation_VISOR.asp,Richmond VA Medical CenterRed ClinicRoom 1-B-006 C,804-675-5221,Vision and Blind Rehabilitation,www.richmond
3101,Womens Veterans Health Program offers gender-specific Health services,/services/Women_Veterans_Health_Program.asp,Hunter Holmes McGuire VA Medical Center,804-675-5389,Women Veterans Health Program,www.richmond
3102,The Canteen Service offers hot and cold food and a retail store.,/services/Canteen_Service.asp,Building 71 Adjacent to the Food and Nutrition ServiceFollow signs from the main hospital building,541-440-1000 Ext. 44710  541-440-1000 Ext. 44713,Canteen Service,www.roseburg
3103,Human Resources Management,/services/Careers.asp,Human ResourcesBldg 17,541-440-1260  800-549-8387,Careers,www.roseburg
3104,Lost or found items,/services/Lost_and_Found.asp,Emergency Dept. Rm E126BBuilding One,541-440-1000 Ext. 41250,Lost and Found,www.roseburg
3105,Contact the VA Roseburg Public Affairs Specialist for media queries,/services/News_Media.asp,Public Affairs Office,541-440-1000 Ext. 44101,News Media,www.roseburg
3106,Find the VA Roseburg Healthcare System Patient Advocates. No appointment necessary.,/services/Patient_Advocates.asp,"Bldg 1, 1st floor Room D107 A and B",541-440-1000 Ext. 41206,Patient Advocates,www.roseburg
3107,The VA Roseburg Healthcare System refills prescriptions by phone or the Internet.,/services/pharmacy.asp,"Outpatient PharmacyBldg 1, 2nd floor",800-549-8387 Ext. 41322  541-440-1322,Pharmacy,www.roseburg
3108,VA Roseburg Prosthetics and And Sensory Aids Service,/services/Prosthetic.asp,"Bldg 1, 1st floor Room D105",541-440-1221  800-549-8387,Prosthetic,www.roseburg
3109,Povides dental treatment to eligible Veterans at Aleda E Lutz VA Medical Center,/services/Dental_Clinic.asp,Aleda E. Lutz VA Medical Center,989-321-4570  800-406-5143,Dental Clinic,www.saginaw
3110,Information on the Saginaw VA Family Support and Education Program.,/services/Family_Support_and_Education_Program.asp,Aleda E. Lutz VA Medical Center,989-497-2500,Family Support and Education Program,www.saginaw
3111,Information on the Saginaw VA Former Prisoners of War program.,/services/Former_Prisoners_of_War_Information.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11959,Former Prisoners of War Information,www.saginaw
3112,"Provides care in the Community Living Center, as well as Outpatient services, including Home Based Primary Care, Adult Day Health Care, Home Maker/Home Health Aid...",/services/ecrc.asp,Bldg 22,989-497-2500  800-406-5143,Geriatric Extended Care,www.saginaw
3113,Learn more about what you can do to improve your health and well-being.,/services/Health_Promotion_Disease_Prevention.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Health Promotion Disease Prevention (HPDP),www.saginaw
3114,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11959  800-406-5143,Mental Health,www.saginaw
3115,The goal of the Minority Veterans Program is to increase local awareness of minority veteran related issues and develop strategies for participation in benefit programs.,/services/Minority_Veterans_Program_Coordinator.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 13018,Minority Veterans Program Coordinator,www.saginaw
3116,"Palliative Care is the medical specialty focused on relief of the pain, stress and other debilitating symptoms of serious illness.",/services/Palliative_Care.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11162/11160,Palliative Care Options,www.saginaw
3117,"Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,Outpatient Pharmacy,989-321-4990  800-406-5143 Ext. 13990,Pharmacy,www.saginaw
3118,PACT is a team-based model of care led by a personal provider who is supported by a fully engaged and collaborative team.,/services/PACT.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Primary Care / Patient Aligned Care Team,www.saginaw
3119,Pulmonary Rehabilitation - A rehabilitation program designed for the Veteran to strengthen and improve lung function.,/services/Pulmonary_Rehabilitation.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Pulmonary Rehabilitation,www.saginaw
3120,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/socialwork.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Social Work,www.saginaw
3121,"We offer a variety Specialty Services such as neurology, pulmonology, cardiology, urology, podiatry, geriatrics, and palliative care...",/services/specialty.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Specialty Care,www.saginaw
3122,The Aleda E. Lutz VA Medical Center provides support to Veterans who are struggling with suicidal behavior.,/services/Suicide_and_Crisis_Prevention.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11778,Suicide and Crisis Prevention,www.saginaw
3123,The VA is seeking Veterans and other interested persons to share ideas for improving their mental health services.,/services/Veterans_Mental_Health_Advocacy_Council_of_Mid_Michigan.asp,"Conference Room 7, VA Healthcare Annex4241 Barnard St.Saginaw, MI 48603",989-497-2500 Ext. 11798,Veterans Mental Health Advocacy Council of Mid-Michigan,www.saginaw
3124,Chief Business Office processes payment for bills relating to care received outside the VA.,/services/Billing_and_Insurance.asp,Building 10Building 10,800-936-7540  800-936-7540,Billing - Non VA Care,www.salem
3125,Visual Impairment Services Team - VIST - assists legally blind and severely visually impaired Veterans and their families adjust to vision loss.,/services/Visual_Impairment_Services_Team_VIST.asp,Salem VAMC Building 143 Eye Clinic 1FG-120,540-982-2463 Ext. 3356  540-982-2463 Ext. 2826,Blind Rehabilitation,www.salem
3126,"Our Extended Care and Rehabilitation Program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",/services/ecrc.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Extended Care and Rehabilitation,www.salem
3127,Our Hospice and Palliative Care Service provides inpatient and outpatient consultation at the Salem VAMC.,/services/hospice_palliativecare.asp,Salem VA Medical Center,540-982-2463 Ext. 1328/2871/4284  888-982-2463 Ext. 1328/2871/4284,Hospice and Palliative Care,www.salem
3128,"Our Mental Health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Mental Health,www.salem
3129,"The Salem VAMC pharmacy processes over 1,800 prescriptions daily.",/services/pharmacy.asp,Outpatient PharmacyBuilding 143,888-982-2463 Ext. 1099  540-983-1099,Pharmacy,www.salem
3130,Our Primary Care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,Building 143,540-982-2463 Ext. 7  888-982-2463 Ext. 7,Primary Care,www.salem
3131,The predoctoral internship program at the Salem VA Medical Center is fully accredited by the American Psychological Association.,/services/Psychology.asp,"1970 Roanoke Boulevard - 116CSalem, VA 24153",540-982-2463 Ext. 2934,Psychology Services,www.salem
3132,Our Research and Development program enhances our ability to provide state-of-the-art medical techniques and treatments to Veterans.,/services/research.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Research,www.salem
3133,Social Work is an integral part of health care. Our Social Work program assists Veterans with counseling and community services.,/services/socialwork.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Social Work,www.salem
3134,"Salem VAMC offers Medical and Surgical specialties, such as Orthopedic, Podiatry, Neurology, Cardiology, Oncology, and Audiology.",/services/specialty.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Specialty Care,www.salem
3135,"Our Spinal cord injury program provides comprehensive care to Veterans who have suffered spinal cord injuries, including surgery and rehabilitation.",/services/sci.asp,Spinal Cord ClinicBuilding 143,540-982-2463  888-982-2463,Spinal Cord Injury,www.salem
